,NGA,PolID,Time,Gauss1,Gauss2
57,Deccan,InSataL,200,0.0015242941,0.9984757059
359,Susiana,IrAkKoy,1500,0.0014895416,0.9985104584
67,Deccan,InVijay,1400,0.0013832639,0.9986167361
300,Sogdiana,KgKarKh,1200,0.0013309313,0.9986690687
161,Latium,ItRomMR,-200,0.0013206654,0.9986793346
97,Kachi Plain,InMugl*,1600,0.0013198472,0.9986801528
26,Cambodian Basin,KhAngkC,1100,0.001298347,0.998701653
114,Kansai,JpAzMom,1600,0.0012545353,0.9987454647
294,Sogdiana,AfHepht,500,0.0012303548,0.9987696452
357,Susiana,IqAbbs2,1200,0.0012283243,0.9987716757
68,Deccan,InVijay,1500,0.0012222144,0.9987777856
278,Paris Basin,FrValoE,1400,0.0011995856,0.9988004144
93,Kachi Plain,AfGhurd,1200,0.0011842798,0.9988157202
298,Sogdiana,KgKarKh,1000,0.0011199168,0.9988800832
69,Deccan,InVijay,1600,0.0010841691,0.9989158309
60,Deccan,InChaBd,600,0.0010449557,0.9989550443
31,Cambodian Basin,ThRattn,1800,0.0010182455,0.9989817545
293,Sogdiana,AfKushn,200,0.0010008833,0.9989991167
292,Sogdiana,AfKushn,100,0.0009657472,0.9990342528
393,Upper Egypt,EgTulIk,900,0.0009607995,0.9990392005
392,Upper Egypt,EgPtol2,-100,0.0009203671,0.9990796329
24,Cambodian Basin,KhAngkE,900,0.0009177266,0.9990822734
355,Susiana,IrBuyid,1000,0.0009103839,0.9990896161
61,Deccan,InChaBd,700,0.000883765,0.999116235
391,Upper Egypt,EgPtol2,-200,0.0008672955,0.9991327045
29,Cambodian Basin,ThAyuth,1600,0.0007954827,0.9992045173
272,Paris Basin,FrCarlE,800,0.0007334957,0.9992665043
167,Latium,ItOstrg,500,0.0007181975,0.9992818025
30,Cambodian Basin,ThAyuth,1700,0.0006933298,0.9993066702
201,Middle Yellow River Valley,CnEHan*,200,0.0006840898,0.9993159102
345,Susiana,IrPart1,-100,0.0006343595,0.9993656405
276,Paris Basin,FrCaptL,1200,0.0006221258,0.9993778742
297,Sogdiana,UzSamnd,900,0.0006023262,0.9993976738
64,Deccan,InChaKl,1000,0.0005404584,0.9994595416
250,Orkhon Valley,MnKhit2,1000,0.000539478,0.999460522
390,Upper Egypt,EgPtol1,-300,0.0005371958,0.9994628042
277,Paris Basin,FrCaptL,1300,0.0005353217,0.9994646783
88,Kachi Plain,InMaury,-300,0.0005141008,0.9994858992
204,Middle Yellow River Valley,CnNWei*,500,0.0005034455,0.9994965545
354,Susiana,IqAbbs1,900,0.0004452685,0.9995547315
395,Upper Egypt,TnFatim,1100,0.000443938,0.999556062
348,Susiana,IrSasn1,300,0.0004069531,0.9995930469
